,age,num_publications,specialty,marketing_dollars_spent,purchased
0,47,4,other,26,False
1,27,6,other,27,False
2,39,7,internal medicine,3,True
3,35,11,other,29,False
4,54,8,obgyn,1,False
5,43,4,cardiology,8,False
6,39,6,emergency medicine,22,False
7,55,9,obgyn,29,False
8,42,7,internal medicine,10,True
9,31,10,obgyn,19,False
10,47,6,cardiology,1,False
11,56,9,emergency medicine,5,False
12,48,9,internal medicine,10,True
13,51,13,internal medicine,17,False
14,27,6,cardiology,25,False
15,32,6,internal medicine,2,True
16,36,7,obgyn,9,False
17,31,6,other,15,False
18,44,11,internal medicine,13,False
19,46,13,emergency medicine,14,False
20,33,6,internal medicine,14,True
21,29,5,cardiology,13,False
22,52,7,emergency medicine,16,False
23,36,8,obgyn,5,False
24,58,7,cardiology,10,False
25,32,10,obgyn,24,False
26,26,9,cardiology,27,False
27,38,12,emergency medicine,20,False
28,45,10,other,6,False
29,54,8,emergency medicine,4,False
30,57,4,obgyn,13,False
31,31,9,cardiology,23,False
32,36,8,emergency medicine,20,False
33,39,6,other,6,False
34,51,6,internal medicine,14,True
35,51,6,internal medicine,24,True
36,33,7,cardiology,7,False
37,39,10,internal medicine,23,True
38,29,8,obgyn,0,False
39,29,8,emergency medicine,3,False
40,26,6,internal medicine,4,True
41,50,10,cardiology,6,False
42,32,8,other,10,False
43,51,8,obgyn,13,False
44,26,9,emergency medicine,28,False
45,27,6,other,20,False
46,57,8,obgyn,21,False
47,30,5,emergency medicine,19,True
48,30,8,internal medicine,15,True
49,46,9,cardiology,10,False
50,36,6,emergency medicine,15,False
51,28,5,cardiology,24,False
52,58,8,internal medicine,19,True
53,48,6,other,21,False
54,38,7,other,12,False
55,54,8,cardiology,29,False
56,44,4,emergency medicine,11,True
57,55,6,emergency medicine,11,False
58,53,7,internal medicine,0,True
59,40,7,other,28,False
60,27,4,obgyn,29,False
61,28,5,obgyn,12,False
62,59,3,internal medicine,29,True
63,57,9,emergency medicine,26,False
64,36,13,other,5,False
65,40,6,cardiology,14,False
66,42,9,obgyn,23,False
67,50,5,internal medicine,19,False
68,33,9,obgyn,26,False
69,38,8,obgyn,2,False
70,38,6,internal medicine,28,True
71,56,5,obgyn,28,False
72,51,8,internal medicine,15,True
73,31,6,internal medicine,16,True
74,29,7,obgyn,13,False
75,56,7,emergency medicine,20,False
76,43,7,emergency medicine,7,False
77,52,4,cardiology,17,False
78,57,3,cardiology,27,False
79,25,10,other,24,False
80,41,11,other,19,False
81,54,10,obgyn,12,False
82,55,8,emergency medicine,6,False
83,29,6,emergency medicine,22,False
84,36,7,internal medicine,13,True
85,42,10,obgyn,11,True
86,51,8,obgyn,7,False
87,59,9,emergency medicine,6,False
88,52,7,internal medicine,16,True
89,49,10,cardiology,0,False
90,49,11,obgyn,14,False
91,45,5,cardiology,27,False
92,50,7,obgyn,24,False
93,30,5,cardiology,22,False
94,53,5,internal medicine,22,True
95,59,14,emergency medicine,6,False
96,53,9,internal medicine,3,True
97,50,5,other,16,False
98,56,10,internal medicine,23,True
99,34,7,cardiology,9,False
100,56,6,cardiology,14,False
101,31,10,cardiology,26,False
102,44,9,other,24,False
103,43,10,obgyn,23,False
104,47,3,emergency medicine,28,True
105,47,6,emergency medicine,27,False
106,25,6,cardiology,18,False
107,51,7,emergency medicine,16,False
108,51,4,emergency medicine,0,True
109,49,6,emergency medicine,23,False
110,52,8,obgyn,5,False
111,34,7,internal medicine,19,True
112,53,3,obgyn,13,False
113,59,8,cardiology,7,False
114,52,7,cardiology,4,False
115,31,6,obgyn,1,False
116,41,8,internal medicine,18,True
117,32,11,cardiology,4,False
118,57,6,emergency medicine,6,False
119,38,7,emergency medicine,26,False
120,50,9,emergency medicine,5,False
121,48,4,other,12,False
122,41,7,emergency medicine,9,False
123,53,9,other,7,False
124,55,3,obgyn,25,False
125,26,8,other,22,True
126,26,2,internal medicine,25,True
127,33,8,obgyn,20,False
128,25,6,cardiology,20,False
129,59,12,other,6,False
130,56,5,other,29,False
131,49,6,obgyn,17,False
132,49,8,emergency medicine,17,False
133,38,8,emergency medicine,21,False
134,35,3,internal medicine,21,True
135,41,6,cardiology,22,False
136,34,7,internal medicine,22,True
137,52,6,cardiology,15,False
138,47,8,internal medicine,22,True
139,47,11,internal medicine,22,False
140,28,5,obgyn,0,False
141,48,8,emergency medicine,5,False
142,38,3,internal medicine,28,True
143,56,8,internal medicine,2,True
144,27,7,cardiology,12,False
145,28,11,cardiology,14,True
146,38,9,other,28,False
147,32,5,emergency medicine,18,True
148,43,6,internal medicine,29,True
149,34,9,other,18,False
150,55,8,emergency medicine,16,False
151,49,5,other,2,False
152,55,8,cardiology,18,False
153,43,11,internal medicine,29,False
154,39,5,obgyn,6,False
155,43,5,emergency medicine,22,True
156,52,8,cardiology,22,False
157,35,7,other,21,False
158,38,10,obgyn,21,False
159,29,9,emergency medicine,24,False
160,28,8,cardiology,10,False
161,37,3,obgyn,20,False
162,44,8,obgyn,26,False
163,25,9,other,20,False
164,27,5,other,23,False
165,43,7,other,3,False
166,47,10,internal medicine,17,True
167,48,8,cardiology,1,False
168,36,13,emergency medicine,17,False
169,50,10,cardiology,9,False
170,39,6,obgyn,5,False
171,27,5,obgyn,18,False
172,35,6,internal medicine,22,True
173,56,9,internal medicine,21,True
174,55,11,other,6,False
